숫자0부터 시작,시/도속성,지역속성,분류,가게명칭,위도,경도,주소,가게 전화,운영시간,예상 소요시간,사진폴더 이름,설명, #해시태그 5가지
P190418000000,1,605,1000,양꼬치거리,37.5388585,127.0666317,서울특별시 광진구 자양동 6-21,정보없음,정보없음,20,010605_양꼬치거리,길거리에 양꼬치를 파는 음식점이 쭉 늘어져 있는 거리이다.,양꼬치 거리 중국식 맛집들 건대입구
P190418000001,1,607,1000,일감호,37.5419717,127.0767285,서울특별시 광진구 화양동 1,02-450-3114,정보없음,30,010607_일감호,영화나 드라마에도 많이 나오는 예쁜 호수로 건국대학교의 캠퍼스 분위기를 느끼며 걷기에 좋다.,건국대 걷기 한적함 오리 와우도
P190418000002,1,605,1000,뚝섬한강공원,37.5291052,127.0700308,서울특별시 광진구 자양동 704-1,02-3780-0521,정보없음,60,010605_뚝섬한강공원,뚝섬에 조성된 공원으로 나들이 가기에 좋다.,치맥 한강 라면 자전거 뚝섬유원지역
P190418000003,1,602,1000,구의공원,37.5369226,127.0945793,서울특별시 광진구 구의동 546-2,정보없음,정보없음,30,010602_구의공원,"구의역에 있는 조그마한 공원으로 주변에 테크노마트, 맛집 등이 많아 잠깐 걷기 좋은 곳이다.",산책 소화 걷기 작은공원 강변역
P190418000004,1,603,1000,광진광장,37.5477055,127.0735718,서울특별시 광진구 군자동 374-7,정보없음,정보없음,20,010603_광진광장,어린이대공원역 옆에 있는 작은 광장으로 잠깐 쉬었다 가기 좋은 곳이다.,광장 이벤트 조형물 어린이대공원 맛집근처
P190418000005,1,607,1000,화양공원,37.5413451,127.0696002,서울특별시 광진구 화양동 8-36,정보없음,정보없음,20,010607_화양공원,"다양한 상가, 음식점들 가운데에 있는 조그마한 공원이다.",산책 소화 걷기 작은공원 건대입구역
P190418000006,1,607,1000,느티나무공원,37.5463294,127.0719264,서울특별시 광진구 화양동 110-32,정보없음,정보없음,20,010607_느티나무공원,시끌벅적한 골목들 사이로 들어오면 있는 한적한 공원으로 느티나무가 예쁘다.,느티나무 공원 한적함 산책 소화
P190418000007,1,607,1000,가중나무공원,37.5463444,127.067878,서울특별시 광진구 화양동 32-1,정보없음,정보없음,20,010607_가중나무공원,화양동에 있는 조용한 공원으로 주변에 오꼬노미야끼 맛집이 있다.,공원 한적 산책 둘러보기 화양리
P190418000008,1,607,1000,능동로분수광장,37.5430313,127.0724686,서울특별시 광진구 화양동 4-16,정보없음,정보없음,20,010607_능동로분수광장,건국대학교 옆에 있는 분수광장으로 다양한 행사가 열리기도 하며 잠시 쉬었다 가기에도 좋다.,분수 광장 산책 이벤트 건대입구역
P190418000031,1,602,1000,아차산배수지체육공원,37.5487613,127.0969862,서울특별시 광진구 구의동 38-4,정보없음,정보없음,50,010602_아차산배수지체육공원,아차산에 있는 체육공원으로 운동과 산책가기 좋다.,아리수 운동 산책 공원 아차산
P190418000032,1,606,1000,긴고랑공원,37.5588711,127.0910421,서울특별시 광진구 중곡동 68-19,정보없음,정보없음,30,010606_긴고랑공원,"아차산에 있는 곳으로 긴고랑길과 이어져 있어 운동, 산책하기 좋다.",운동 산책 긴고랑길 아차산 등산
P190418000033,1,606,1000,긴고랑길,37.5608432,127.0951249,서울특별시 광진구 중곡동 482-4,정보없음,정보없음,40,010606_긴고랑길,긴고랑길은 벽화들이 도로변의 건물외벽에 그려져 있어 아트우어 하기 좋은 길이다.,아트 벽화 테마거리 향수 산책
P190418000041,1,601,1000,아차산성,37.5540723,127.1048645,서울특별시 광진구 광장동 5-47,정보없음,정보없음,40,010601_아차산성,"아차산에 있는 산성으로 자연이 아름답게 구성되어 산책, 운동하기 좋은 곳이다.",자연 산책 산성 운동 아차산
P190418000043,1,604,1000,중곡동가구거리,37.5528109,127.0889706,서을특별시 광진구 능동 256-16,정보없음,정보없음,30,010604_중곡동가구거리,"중곡동에 있는 가구거리로, 가구들에 관심이 있다면 걸으면서 둘러보는 것을 추천한다.",가구 테마거리 중곡동 걷기 혼수
P190418000044,1,606,1000,중곡3동1동1마을공원,37.5698794,127.0846637,서울특별시 광진구 중곡동 195-1,정보없음,정보없음,30,010606_중곡3동1동1마을공원,중곡동에 있는 작은 공원이다.,한적함 산책 밤공기 잠시 중곡동
P190501000001,1,602,1000,테크노마트,37.5349372,127.0957088,서울특별시 광진구 구의동 546-4,02-3424-0114,10:00 ~ 21:00,60,010602_테크노마트,"다양한 전자기기, 노트북, 핸드폰 등을 구매할 수 있으며 그 밖에도 옷, 음식점 등이 있는 백화점 같은 곳이다.",핸드폰 전자기기 노트북 저렴 강변역
P190501000002,1,605,1000,롯데백화점 스타시티점,37.5387765,127.0710831,서울특별시 광진구 자양동 227-342,02-2218-2500,10:30 ~ 20:00(연장시 20:30),60,010605_롯데백화점 스타시티점,"건대 스타시티에 있는 롯데 백화점으로 다양한 옷, 서점, 화장품, 음식점 등이 종합적으로 구비되어 있다.",스타시티 롯데 백화점 놀거리 음시점
P190501000005,1,606,1000,ffroi,37.5672802,127.0778742,서울특별시 광진구 중곡동 236-7,02-499-8410,12:00 ~ 19:00(주말 10:00 ~ 20:00),40,010606_ffroi,"쇼룸이라는 핸드백, 가방 등을 전시하고 판매하며 카페도 같이 있어서 여성들이 좋아하는 곳이다.",쇼룸 핸드백 카페 전시 
P190501000006,1,607,1000,플레이그라운드,37.5407522,127.0702461,서울특별시 광진구 화양동 5-48,02-2205-3352,11:30 ~ 00:30,40,010607_플레이그라운드,옷을 저렴한 가격에 살 수 있는 의류점이다.,가성비 옷 츄리닝 청바지 건대입구
P190501000007,1,607,1000,심미안메디컬피어싱 건대점,37.541951,127.071321,서울특별시 광진구 화양동 5-5,02-6959-9623,11:00 ~ 22:00,30,010607_심미안메디컬피어싱 건대점,"다양한 모양의 피어싱이 존재하며, 귀도 뚫어준다.",피어싱 다양함 청결 귀걸이 건대
P190501000009,1,607,1000,아트박스 건대점,37.5421481,127.0713004,서울특별시 광진구 화양동 5-3,02-3409-0788,11:30 ~ 22:30,30,010607_아트박스 건대점,"생활에 필요한 다양한 문구들, 액세서리 등이 모두 갖추어진 곳이다.",문구 액세서리 라이언 귀여움 건대중문
P190501000010,1,607,1000,화양제일골목시장,37.5435393,127.0691835,서울특별시 광진구 화양동 34-72,02-465-3706,정보없음,50,010607_화양제일골목시장,화양리에 있는 자그마한 시장으로 골목을 따라가면 다양한 맛집들이 존재한다.,맛집 분식 족발 횟집 시장
P190501000011,1,605,1000,건대로데오거리,37.5403907,127.0672486,서울특별시 광진구 자양동 8-5,정보없음,정보없음,20,010605_건대로데오거리,먹을거리와 쇼핑거리가 있는 거리이다.,로데오 거리 산책 맛집 건대입구
P190501000012,1,607,1000,건국대학교,37.5459592,127.0736703,서울특별시 광진구 화양동 395-1,02-450-3114,정보없음,30,010607_건국대학교,도깨비 등 다양한 드라마의 촬영지로 유명한 건국대학교로 일감호 주변을 돌기 좋다.,일감호 와우도 도깨비 드라마 건국대학교
S190530000005,1,1407,1000,불광천,37.5795473,126.9063223,서울 서대문구 북가좌동 352-1,정보없음,정보없음,30,011407_불광천,중산역에 있는 하천으로 하천을 따라 걷다보면 다양한 꽃들과 동물들을 볼 수 있다.,산책로 산책길 벚꽃길 포근한 숨은
S190530000006,1,101,1000,양재천,37.4889261,127.0615304,서울 강남구 개포동 648-1,02-3423-6255,정보없음,30,010101_양재천,과천시와 남부를 흐르는 하천으로 하천을 따라 산책하기 좋다.,벚꽃길 산책로 평화 꽃들 도곡역
S190530000007,1,2365,1000,청계천,37.5696783,127.0050183,서울 종로구 종로5가 458-1,02-2290-6114,정보없음,30,012365_청계천,서울 한복판에 흐르는 하천으로 시기마다 다양한 행사가 열리며 밤에 걷기 좋다.,야경 행사 산책로 화려한 종로5가역
S190530000008,1,1806,1000,탄천,37.5001491,127.0855925,서울 송파구 삼전동 185-1,02-2147-3380,정보없음,30,011806_탄천,용인시부터 서울까지 오는 한강의 지류로 산책하기 좋다.,산책 꽃들 숲향기 자연 용인
S190530000009,1,2025,1000,한강,37.5263086,126.9335824,서울 영등포구 여의도동 8,정보없음,정보없음,30,012025_한강,우리나라의 대표적인 강으로 밤에 보는 한강의 모습은 정말 아름답다.,라이딩 야경 치킨 나들이 유람선
S190530000058,1,108,1000,가로수길,37.5205636,127.0229273,서울 강남구 신사동 667-13,정보없음,정보없음,30,010108_가로수길,이색 카페와 더불어 편집샵과 팝업스토어가 많고 프리마켓도 자주 열려 좋은 상품을 저렴하게 구입할 수 있는 곳입니다.,핫플레이스 치킨 햄버거 세련된 디저트카페
S190530000059,1,207,1000,강풀만화거리,37.5357293,127.1308433,서울 강동구 성내동 160-32,정보없음,정보없음,20,010207_강풀만화거리,인기 웹툰 작가인 강풀의 벽화 그림으로 유명한 거리입니다.,벽화마을 벽화거리 산책 강풀 웹툰
S190530000060,1,2125,1000,경리단길,37.5384272,126.9654442,서울 용산구 이태원동 226-2,정보없음,정보없음,20,012125_경리단길,"개성있는 식당과 카페, 다양하고 독특한 먹거리가 유명한 문화 공간이며, 많은 관광객들이 찾는 곳입니다.",츄러스 길거리음식 그리스음식 아기자기 데이트
S190530000061,1,1318,1000,경의선숲길,37.5618391,126.9227636,서울 마포구 연남동 375,정보없음,정보없음,30,011318_경의선숲길,경의선 철도가 지하화되면서 지상의 폐철로 구간을 시민들을 위한 산책로로 조성한 철길재생 녹지공입니다.,시민공원 철길 산책로 아기자기 휴식
S190530000062,1,1307,1000,경의선책거리,37.557643,126.926422,서울 마포구 동교동 190-1,정보없음,매일 11시~20시(월요일 휴무),40,011307_경의선책거리,경의선 홍대복합역사에 독서문화가 살아 숨 쉬는 복합문화공간으로 조성한 책 테마 거리입니다.,철길 산책로 중고서점 재미있는 책
S190530000063,1,2322,1000,대학로,37.5813978,127.0033826,서울 종로구 동숭동 1-151,정보없음,정보없음,20,012322_대학로,연극·영화·콘서트·뮤지컬 등의 다양한 문화예술을 즐길 수 있는 곳으로 야외공연장과 풍류마당이 있어 각종 야외음악회·시낭송회·연극공연 등이 자주 펼쳐진다.,연극 길거리음식 벽화마을 재미있는 문화
S190530000064,1,2454,1000,덕수궁돌담길,37.5658705,126.9750079,서울 중구 정동 5-1,정보없음,정보없음,25,012454_덕수궁돌담길,"낭만이 가득한 덕수궁 돌담길은 연인들이 걷기에 더없이 좋은 곳이며, 주변에 서울시립미술관과 서울역사박물관이 있어 문화산책 코스로도 제격이다.",단풍구경 미술관 프리마켓 고즈넉한 산책로
S190530000065,1,1506,1000,말죽거리,37.4844756,127.0376579,서울 서초구 양재동 1-6,정보없음,정보없음,30,011506_말죽거리,"양재역사거리 일대를 가리키며, 조선시대 여행자들이 타고 온 말에게 죽을 끓여 먹었다는 데서 유래된 거리이다.",양재 산책 조선 역사 거리
S190530000066,1,2417,1000,명동거리,37.562867,126.9846634,서울 중구 명동2가 81-1,정보없음,정보없음,30,012417_명동거리,먹거리와 쇼핑을 모두 즐길 수 있는 곳으로 외국인들에게 인기가 많은 명소입니다.,명동 쇼핑 먹거리 산책 나들이
S190530000067,1,2460,1000,명동만화의거리 재미로,37.5615919,126.9877434,서울 중구 충무로2가 110-5,정보없음,정보없음,30,012460_명동만화의거리 재미로,"달려라 하니, 미생, 순정만화 등 추억의 만화캐릭터들이 나이 먹지 않은 채 살아있는 골목입니다.",산책 만화 추억 재미있는 숨어있는
S190530000068,1,1804,1000,문정동로데오거리,37.488921,127.1238799,서울 송파구 문정동 41-5,0507-1435-1633,정보없음,60,011804_문정동로데오거리,쇼핑중독이라면 한번쯤 가볼만한 곳으로 100여 개의 유명 브랜드샵과 멀티 패션몰 등이 많은 거리입니다.,아울렛 쇼핑 브랜드 산책 거리
S190530000069,1,1503,1000,방배동카페골목,37.4934767,126.9865297,서울 서초구 방배동 767-27,정보없음,정보없음,20,011503_방배동카페골목,방배동에 위치한 카페거리로 다양한 먹거리로 더욱 유명한 곳입니다.,커피거리 먹자골목 카페 조그마한 거리
S190530000070,1,1503,1000,방배사이길,37.4945819,126.9901742,서울 서초구 방배동 32-1,정보없음,정보없음,20,011503_방배사이길,"개성있는 카페와 베이커리, 수입의류, 가구 등을 판매하는 곳이 많은 운치있는 거리입니다.",카페 공방 인테리어 운치 산책
S190530000071,1,2333,1000,삼청동카페골목,37.5831656,126.9820543,서울 종로구 삼청동 74-1,정보없음,정보없음,20,012333_삼청동카페골목,커페 골목숲으로 루프탑이 있는 카페가 많으며 주변에 경복궁이 있어 들리기 좋다.,루프탑 경복궁 분위기 풍경 카페골목
S190530000072,1,502,1000,샤로수길,37.4792403,126.9553085,서울 관악구 봉천동 1693-43,정보없음,정보없음,20,010502_샤로수길,예쁜 가게들과 맛집들이 있는 골목길이다.,샤로수길 야시장 수제버거 느낌있는 데이트
S190530000073,1,2374,1000,서촌마을,37.5789015,126.972745,서울 종로구 통의동 21,정보없음,정보없음,30,012374_서촌마을,"통인시장으로 위치한 이 마을은 영화 '건축학개론'의 촬영지로 쓰였고 아이유의 뮤직비디오 '꽃갈피', 드라마 '상어'의 배경이 된 곳이다.",촬영지 재래시장 기름떡볶이 아기자기 사진찍기
S190530000074,1,1809,1000,석촌호수카페거리,37.5104023,127.1061023,서울 송파구 신천동 33,정보없음,정보없음,20,011809_석촌호수카페거리,계절마다 다양한 모습을 보여주는 예쁜 석촌호수를 주위로 예쁜 카페들이 많아 나들이 하기 좋은 곳이다.,석촌호수 카페 산책 나들이 잠실
S190530000075,1,1808,1000,송리단길,37.5090486,127.1082053,서울 송파구 송파동 36-8,정보없음,정보없음,20,011808_송리단길,데이트 하기 좋은 장소로 다양한 음식점과 카페들이 나열되어 있으며 같이 걷기 좋은 곳이다.,송리단길 산책 맛집 카페 벚꽃
