,0
0,양꼬치거리 건대
1,"
<건대입구 마라샹궈 탕절대부 위치>건대 입구 5번 출구로 나와서 건대 양꼬치거리 안으로 들어가면 마라탕 & 마라샹궈 맛집 탕절대부가 나와요!!??안녕하세요~~마라 중독자 박지니입니다!!오랜만에 대학교 친구와 만나기로 해서어디를 갈까 하다가저희 둘 다 마라탕 & 마라샹궈를 좋아해서마라의 성지!!건대 양꼬치거리를 가기로 했어요!!
"
2,"
건대 탕절대부 입구예요!!근데 궁금한게...간판에 불 화자가 있는데어떻게 탕절대부라고 읽는거지...??처음에 간판 때문에 탕절대부 아닌 줄 알았어욬ㅋㅋ
"
3,"
아무튼 탕절대부 안으로 무사히 들어왔습니다!!생각보다 자리가 많더라구요.
"
4,"
탕절대부 메뉴판입니다!!요기는 신기한게 마라탕이랑 마라샹궈 말고쇼좌빙이나 토닭볶덮밥도 팔더라구요!!쇼좌빙을 팔다니...대박...!!마라탕은 6000원부터 마라샹궈는 15000원 부터 주문이 가능해요ㅠㅠ왜 항상 마라샹궈 기본 요금이 더 높을가요ㅠㅠ
"
5,"
마라탕도 맛있지만 오늘은 마라샹궈 픽!!매운맛 단계는 총 4단계까지 있는데저희는 2단계 선택했어요!!아 그리고 꿔바로우도 하나 주문했답니다~~
"
6,"
자 그릇을 들고!!샹궈 담을 준비 완료!!!
"
7,"
셀프바에서 원하는 마라탕 재료를 담아주면 됩니다!!배추, 청경채, 버섯, 꼬치, 완자, 중국당면 등여러가지 재료가 준비되어 있었어요!!
"
8,"
마라탕은 100g에 1500원마라샹궈는 100g에 3000원으로 계산하구요.꼬치는 개당 1000원이에요.아 그리고 고기추가는 100g 당 3000원인가봐요.
"
9,"
춘천 라화쿵부 갔을 땐 중국당면만 보고분모자는 못봤던 것 같은데건대 탕절대부에는 분모자가 있어서처음으로 도전해봤어요!!
"
10,"
마라탕에 라면사리 넣어서 먹어도 맛있는데~~마라샹궈에는 당면이 더 맛있을 것 같아서패스했어요~
"
11,"
ㅋㅋㅋㅋ정량 맞추기 넘나 힘든것...건대 탕절대부도 다른 마라탕집들처럼무게를 재는 시스템이라이것저것 담고 빼느라 아주 힘들었어요언제쯤 인간 저울이 될 수 있을까...ㅎㅎ
"
12,"
조금 기다리니 마라샹궈가 먼저 나왔어요!!엄청 많이 담았다고 생각했는데샹궈가 볶음이라 그런지...부피가 확 줄어서 나왔네욤ㅋㅋ큐ㅠㅠ
"
13,"
뒤이어 꿔바로우도 나왔어요!!메뉴판엔 사천 꿔바로우라고 써져있어서살짝 쫄았었는데 매운맛은 전혀 없더라구요!!아마 그냥 꿔바로우도 있나봐요!!저는 사천꿔바로우가 아니라서 오히려 더 좋았어요.
"
14,"
건대 탕절대부 마라샹궈 비쥬얼 좀 보세요ㅠㅠㅠ벌써부터 존맛각매운맛 단계는 2단계로 했는데하~~나도 안맵고 맛있었어욬ㅋㅋ매운거 좋아하시면 3단계 하셔도 될듯!!
"
15,"
중국당면에 마라샹궈 소스가 겉돌지 않고안까지 잘 배었더라구요!!당면 개존마슈ㅠㅠ
"
16,"
감자도 너무 두꺼우면 설익는 경우가 많은데얇게 썰려있어서 포슬포슬 존맛이었어요!!
"
17,"
아 그리고 저희는 고기도 추가했답니다~마라샹궈에 고기는 필수인거 아시죠??양고기랑 소고기 모두 3000원이에요!!
"
18,"
단무지랑 짜샤이도 있어서 가져왔어요.짜샤이 넘나 좋음...ㅠㅠ
"
19,"
꿔바로우도 맛있었어요!!바삭바삭한 튀김에 새콤달콤한 소스의 조합이란ㅠ
"
20,"
꿔바로우 처음 먹을 때 기침이 나올 수 있어서 조심해야돼요!!소스에 신 맛이 있어서자칫자면 뿜을 수 있답니닼ㅋㅋㅋ저랑 친구랑 한 입 먹었다가 기침나와석ㅋㅋ콜록이면서 밥 먹었어욬ㅋㅋㅋ
"
21,"
마라샹궈 먹다가 발견한 분모자!!왜 이렇게 작아졌닠ㅋㅋㅋ분해되어서 나타났다...
"
22,"
겉보기엔 분모자 같이 안생겼는데한 입 먹어보니 엄청나게 맛있더라구요!!떡과 당면의 중간식감?이라고 생각하시면될 것 같아요!!?솔직히 분모자 당면 맛없을 줄 알았는데생각보다 맛있어서 놀랐어욬ㅋㅋ이럴줄 알았으면 더 담는건뎈ㅋㅋ아쉽...?마라샹궈도 가게마다 맛이 약간 차이가 나는데저는 개인적으로 탕절대부 마음에 들었어요.그래도 다음에 건대 양꼬치거리에 다시 온다면다음에는 매운향솥이나 허씨??여기 가보고 싶네용ㅎㅎ세상에 있는 모든 마라탕집 뿌시러 고고!!??<건대 마라탕맛집 탕절대부 솔직후기>맛 : 2단계 기준 맵지 않고 산초맛이 많이 나지 않아서한국인들 입맛에 잘 맞을듯가격 : 다른 마라탕집이랑 비슷한 가격대(단 중국 현지 마라탕 가격에 비하면 비싼편ㅠ)공간 : 생각보다 깨끗하고 테이블 공간 많음??#건대맛집 #건대마라탕맛집 #건대마라샹궈맛집 #건대입구역맛집#건대양꼬치거리 #건대탕절대부 #건대마라탕 #건대마라샹궈
"
23,"
?
"
24,일감호 건대
25,"
??
"
26,"
?오늘은 서울 나들이입니다.사실 서울 살아서 서울 안의 나들이 하면 뭔가 좀 이상(?)하지만 그래도 나들이는 맞으니까요 ㅋㅋㅋㅋㅋ 오늘은 날씨 좋은 날에숨은 명소를 소개해 드리려고 해요.?명소는 제가 정한 겁니다 ㅋㅋ 사실 명소하면 뭔가 대단하고 사람 많을것 같은곳만 있을것 같은데요 서울 안에 이런곳도있을 줄은 정말 몰랐어요 ㅋㅋㅋ 와 생각보다 볼게 엄청 많구나 생각했어요~?다녀온지 좀 한참 지났지만 뒤늦게 포스팅을 해 보려 합니다! 지금 걸어도아주 아름다울것 같아요 저는 물 주변을 걷는게 왜이리 좋은지 모르겠어요 ㅋㅋㅋㅋ?이날도 호수 비슷한 곳을 다녀갔답니다저는 물 주변을 걷는것을 좋아라 한다면전생에 물고기였는지도 모르겠어요~?
"
27,"
?건대 일감호 라고 아시나요?^^?집에서 가까운 곳에 있었답니다! 여기를다녀가고 느낀건 겨울에 와볼걸 그랬나싶었습니다. 겨울에 오면 더 아름다울것같다는 생각이 들어서였죠!!ㅎㅎㅎ?뭐 가을에 오는것도 괜찮은것 같습니다여름을 좋아하지 않는 저로써는 가을풍경이 참 좋게 느껴지더라구요.여름을 너무 미워하는건 아니니?ㅋㅋ
"
28,"
다행히도 제가 이날 비가 안왔습니다^^뭔가 있나봄 ㅋㅋ 제가 쉬는날은 대체적으로 날씨가 좋은날이 많아요 밖돌이인저는 그저 좋을 뿐입니다~
"
29,"
?참고로 개방시간 이게 중요하답니다완전 빡빡하게 되어 있어서..ㅋㅋㅋㅋ평일에 쉬시고 공휴일에 일하시는 분들은 아마 방문이 좀 어려울수도 있어요?지금은 겨울이라 해가 완전 늦게 뜨는데요 지금 12월 기준으로 평일에는 완전 어두컴컴한 밤만 펼쳐지기 때문이거든요. 그런데도 보면..?오전 5시부터 오전 8시로 제한이 되어 있어요. 그도 그럴것은 여기는 대학교 근처이기 때문에 그런것 같아요학생들의 보호를 위해서 그런 거라면뭐 감안해야죠~
"
30,"
?건대 일감호 저는 토요일에 왔기 때문에오전 8시가 넘어도 자유롭게 갈수 있었답니다 대학에 이렇게 아름다운 호수가자리하고 있었네요 ㅋㅋㅋㅋㅋ
"
31,"
제가 다니던 대학에는 건물만 있고또 규모도 작았고.. 연못 하나 없었는데말이죠 ㅠㅠ(나름 대학의 로망이랄까 그런게 조금은 있었다고 생각을 한답니다)?하지만 이것도 매일 보면 감흥이 없을까요? 그런 생각도 조금은 해봅니다^^익숙함에 젖어서 무관심해지는 그런것?
"
32,"
?수심이 2m 이기 때문에 들어가면 위험하겠어요. 조심해야겠네요. 물에 빠지면 물귀신에게잡혀갈 확률이 무지 높은 곳입니다.새벽에 멍때리고 걷다가 잘못해서 풍덩 빠지게 되는 일이 일어날 수도 있을것 같아요.?어찌되었든 가을 아침 햇볕이 내리쬐고 있습니다. 캠퍼스이기는 한데 이른 오전이라 그런지 사람들은 그렇게 많이는 안 보였어요.여기 근처를 산책하시는 분들이 몇몇 보였습니다. 경치는 참 좋더라구요:)ㅎㅎ
"
33,"
?평소 개방시간 자체가 짧기 때문에 잘 잡는게중요한 은빛!ㅎㅎㅎ 주변이 온통 대학교 건물이겠지요?^^(우리 주변에 대학교 참 많아요그 중에서 여기는 경치도 참 좋은듯 하네요.)
"
34,"
저희 학교는 시내 한가운데 있는 거라서딱히 입구 출구 같은 느낌이 그렇게 많이는 안들었는데 여기는 아닌듯 해요~
"
35,"
?건대 일감호 가을가을한 풍경이 너무 매력적으로 다가오는 것 같아요 그렇죠?ㅎㅎ?특히 건물이 물결에 의해서 반사가 되는 이모습 또한 장관이라고 생각을 합니다 어떻게 보면 건물은 물속에 자기가 비춰지는것을 확인할수 있을것 같아요.?그리스 로마신화에 한 사람이 물 속에비친 모습보고 오 정말 아름다운 사람이구나 라고 손을 내밀려고 했다고 하는데.. 그리스 신화가 생각이 나네요.
"
36,"
?부천 상동 호수공원 일산 호수공원 갔을때도 물이 참 잔잔하고 아름다웠는데 여기더그러네요. 특히 높은 건물이 물에 의해서반사가 되는 듯한 일렁거리는 그 모습이이날따라 더 아름다워 보였던건 무엇일지.
"
37,"
겨울이었으면 아마도 저 물들은 꽁꽁 얼어버렸을 거에요. 영하권으로 계속 떨어지면 얼어붙어 버리겠죠. 하지만 그렇다고 해서 그 위에서 김연아가 되겠다고 스케이트를 타는것은 무리수입니다..ㅠㅠ?물귀신이 반갑다 친구야 라고 말하면서어서와 물귀신 세계는 처음이지? 말하면서 강제로 데리고 갈거에요.
"
38,"
?건대 일감호 안에 놓여진 한 다리입니다?괜히 마음에 들어서 찍어보았어요저기는 나룻배 하나 다니는게 어렵겠네요중간에 일어서다가 머리 쿵 할수도 있고무엇보다 지나다니는 공간이 너무 좁음.?나룻배 허용되고 이 학교 다녔으면 그리고 여자친구가 있었으면 가끔씩 배 빌려가다가 호수 한가운데 앉아 있었을 거야(아마도 빨강머리앤에서 앤과 길버트가호수 나룻배에 앉아있는 모습 떠올린듯)?가을가을한 날씨가 너무너무 좋네요~
"
39,"
?되게 조용한 토요일 오후입니다?일주일중 하루는 이렇게 조용하게 보낼수있어서 참 좋은것 같아요!!ㅎㅎㅎㅎ 그 조용함은 집에 혼자 있을때 그 조용함이라는거리가 상당히 멀다고 생각을 하고 있어요?이렇게 사람이 적은 조용한 거리를 걸으면마음이 정리되고 차분해지는 느낌이 들어요. 가을가을한 감성은 주변의 약간의 데시벨이 섞인 고요함이 따라와야 되는 것같아요!!ㅋㅋㅋ 풍경이 참 이쁜것!ㅎㅎㅎ?가을이구나 그 덥던 여름 이제 없구나~
"
40,"
?서울 안도 이렇게 조용한 공간이 있구나라는 생각을 해봐요 ㅎㅎㅎㅎㅎ 물결이잔잔하게 흐르는 이 모습을 보면 감성이 충만해지는 느낌이 드는듯 하네요?역시 데이트 명소(?)를 여기저기 탐색하는 은빛!!ㅋㅋㅋㅋㅋㅋ 미래의 여자친구 여기저기 잘 데리고 다닐것 같아 뻔한 스토리 만남 -> 밥 -> 영화-> 카페 이런건 절대 반복 안할듯..
"
41,"
?건대 일감호 풍경이 진짜 아름답죠~?솔직히 개방시간 자체는 불만이 없어요평일에는 학생분들이 학교에서 공부를해야되는데 평일에도 저녁때까지 열어놓아버린다면 엉망이 될것 같기도 해요즉 학생들 공부에 방해가 되는 겁니다.
"
42,"
토요일 일요일은 대학교 자체가 쉬어서 그런지.. 오래 개.방되어 있고 그 틈을 타서 구경을 하니까 참 좋은듯 해요
"
43,"
?가을이지만 초록초록한 잎이 아직까지 좀남아있는 모습도 확인할수 있었어요?분위기가 조용하지만 참 멋진곳 같아요밤에는 껌껌해서(입장 자체가 불가능하지만) 다니기 어려운곳.지금은 밝은 대낮이라 그런지 물귀신들도 지금 잠자고 있는 듯한 느낌입니다!?귀신들도 낮에 잠을 잘 자둬야 밤에사람들을 놀래킬 에너지가 있는것!!즉 밤에는 귀신 튀어나올것 같음 ㅋㅋㅋ학교괴담 일본 애니매이션에 나오는 그유령들이 나오지 않을까 생각하고 있음.
"
44,"
?잔잔한 물결을 따라서 한번도 못가본 대학캠퍼스 인근을 걸어보니까 좋긴 하더라구요가을가을한 이곳!!ㅎㅎ 겨울에 왔으면 조금더 아름답지 않았을까 라는 생각도 들었던곳!! 그쪽에 제가 서 있었습니다^^?물결 주변을 걷는다는것은 참 좋은것 같아요 그러고보니 참 많이 걸었던 기분이 있습니다 ㅋㅋㅋㅋ건대 일감호 참 좋네요.?언제부터 걸었드라. 수원에서도 걸었고 부천 안산에서도 걸었고 참 많이도 걸었고 물을 무서워하지만 물주변을 걷는것은 좋아라 하나봐요?
"
45,"
?어느 가을가을한 풍경을 담은 일상을 올립니다. 날이 꽁꽁 추울때 갔으면 저기가 얼어 있는 상태로 되어 있었을까요?ㅎㅎ얼려먼 시간이 좀 한참 필요하기는 하겠지만 그래도 얼어있는게 겨울같긴 하죠?생각보다 넓고 좋지만 평일에는 완전개방시간 때 산책하기에는 여름이 아닌 이상 무리가 있습니다 학생들의 배려라고 충분히 생각하고 있어요.??
"
46,"
??
"
