"	0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,로니로티 건대점,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2인분 정도는 되는 양에 목살 스테이크 샐러드, 파스타, 필라프 등을 파는 것이 서가앤쿡과 비슷하다! 장점은 거의 모든 메뉴가 하프(약 1.3인분, 만원대 초반)도 있어서 둘이서 와도 다양한 메뉴를 시킬 수 있다는 점! 평일 점심에 방문했는데도 웨이팅이 어마어마하게 많았는데 그만큼 넓은 홀에 회전율도 빨라서 금방금방 줄었다. 둘이서 해물이 들어간 오일파스타(하프)와 목살필라프(하프)를 시켰다. 오일파스타보다는 크림파스타 덕후라서 오일파스타를 제대로 시켜먹은적은 거의 처음이었다! 그런데도 정말 너무너무 맛있었다!! 지금까지 먹은 오일파스타 중에 1등일 정도..?(지금까지 먹어본 오일파스타가 다섯 손가락에 꼽음ㅋㅋ) 오동통한 새우도 많이 들어있고 얼큰,매콤하면서 감칠맛이 도는 파스타였다! 이걸 위해 또 오고 싶을 정도!!목살필라프도 맛있었는데 다 먹고나면 조금 느끼할랑말랑 한 정도..? 중간중간 비계가 꽤 있었던 것은 아쉬웠다ㅠㅠ이곳의 단점이라면 워낙 인기가 많아서 그런지 음식 나오는 데 오래 걸린다ㅠㅠ 거의 주문한지 30분은 지나서 오일파스타가 나왔고, 다 먹고 소스를 긁어먹으며 뇌가 배부름을 인지하기 시작할 때 쯤," 필라프가 나와서 결국 남겼다ㅠㅠ (첫번째 사진..ㅠㅠ)다른 테이블을 보니 남은 음식 포장도 해주시는 것 같았다! 건대에서 다양한 메뉴와 가성비를 찾는다면 로니로티로! 재방문의사 있음!""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,자주 왔던 곳인데 다 색다른 메뉴로 시켰어용원래는 꾸덕한 파스타를 먹고 싶었는데 뭔가 새로운 거 시키고 싶어서 도전했습니당해산물 야끼 파스타, 부챗살스테이크," 리코타 치즈 샐러드 먹었습니당파스타는 파스타보다는 중국요리같은 볶은짬뽕 같은 맛! 독특하니 맛있었어용스테이크는 기본 목살필라프가 더 맛있긴한데 부드러운 고기를 원하신다면 괜찮을 것 같아용리코타치샐러드는 어디든 맛있! 치즈도 두덩이고 야채도 싱그러운게 맛있습니당오랜만에 포식!! 독특한 점심 좋았어용""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,서가앤쿡보다 훨씬 맛있는집!!딱 생긴거같은 맛이 난다양도 많고 배뷰른 집건대 대표맛집이라고 해도 명성이나 여러모로 손색없다쵸☆☆럭키,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2019.02.25서가앤쿡 느낌이라길래 기대하고 방문했다. 대기해야했는데 사람이 금방빠져서 빨리 주문하고 먹을 수 있었다..두명이 갔고 하프메뉴 3개 시키면 배터질만큼 먹을 수 있다!갈릭 삼겹살 스테이크 정말...맛있다.. ㅠㅠ 또먹고싶은 메뉴파스타는 해산물 올리브파스타랑 오이스터크림해산물파스타로 주문했는데 내 취향은 오이스터!!다시 갈 의향 있음 ㅜㅜㅜㅜㅜ 갈릭삼겹 꼭 먹어보세요...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,서가앤*과 비슷하다고 들었다.항상 건대입구역에서 내릴 때 보며 언제 가보나 했는데 드디어 방문.역시 2인용 위주의 음식 형태이나 Half 사이즈로 1인용도 주문 가능~갈릭 삼겹 스테이크, 닭고기 크림 파스타, 새우 필라프 주문.Half 사이즈라고 하는데도 양이 정말 혜자다.갈릭 삼겹 스테이크는 양념이 참 맛있었음. 마늘 양념의 감칠맛에 스테이크 소스의 달콤함이 잘 어우러진다. 다만 뼈가 너무 많았고 살짝 질겼다.닭고기 크림 파스타, 스파이시한 크림 파스타이다.소스가 꾸덕하고 면 양도 정말 많았음. 특출난 맛은 아님.새우 필라프도 마찬가지, 새우가 적어서 실망스러우나 맛은 자극적이고 아주 감칠맛 난다. 나중에 물이 엄청 땡김새우는 조금인데 부재료(버섯," 양파 등 야채)가 거의 밥과 5:5비율로 들어감.음식 종류도 진짜 다양하고 가격에 비해 양도 풍부하며 맛도 나쁘지 않으니 무난하게 찾기 좋은 식당이다.""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,호야 참치초밥 본점,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,연어초밥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,초심을 잃었다고 밖엔...가게가 아무리 난잡하고 좁고 복잡하고 시끄럽고 북적대고 시장통 같더라도 맛하나 보고 갔었는데,,,"광어는 어떻게 숙성시켰는지 곱창보다 질기고간장새우는 상한맛이나서 다시 시켰더니시큼한 맛은 고추 때문이라고...다시 만들어온 간장새우는 상한맛이 나지 않았는데...(간장새우 4개 나와서 2개 맛보고 뱉고 상한거 같다고 해서 다시 만들어줄거면 4개를 만들어줘야 맞는거 아닌가)특 세트 중에 제일 맛있었던건 사이드로 나오는 소바였던 듯...뭐 암튼... 이제는 가게 확장하고 배불렀다고 밖에는... 어제 밤에 건대에서 가지 말아야할 가게가 두군데가 생겼네요...ㅠㅠ""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
